[[(0,00) -1,98	23,00	21,02 (6,00)	6,53	0,04	0,00], [(0,00) -2,98	24,00	21,02 (5,00)	6,22	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (6,00)	6,53	0,04	0,00], [(0,00) -2,98	23,00	20,02 (4,00)	6,54	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (6,00)	6,53	0,04	0,00], [(0,00) -2,98	23,00	20,02 (4,00)	6,54	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (6,00)	6,53	0,04	0,00], [(0,00) -2,98	23,00	20,02 (4,00)	6,54	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (6,00)	6,53	0,04	0,00], [(0,00) -2,98	23,00	20,02 (4,00)	6,54	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (6,00)	6,53	0,04	0,00], [(0,00) -2,98	23,00	20,02 (4,00)	6,54	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (6,00)	6,53	0,04	0,00], [(0,00) -2,98	21,00	18,02 (2,00)	7,36	0,07	0,00]]
[[(0,00) -1,98	23,00	21,02 (6,00)	6,53	0,04	0,00], [(0,00) -2,98	21,00	18,02 (2,00)	7,36	0,07	0,00]]
[[(0,00) -1,98	23,00	21,02 (6,00)	6,53	0,04	0,00], [(0,00) -2,98	21,00	18,02 (2,00)	7,36	0,07	0,00]]
[[(0,00) -1,98	23,00	21,02 (6,00)	6,53	0,04	0,00], [(0,00) -2,98	20,00	17,02 (1,00)	7,86	0,06	0,00]]
[[(0,00) -1,98	23,00	21,02 (6,00)	6,53	0,04	0,00], [(0,00) -2,98	20,00	17,02 (1,00)	7,86	0,06	0,00]]
[[(0,00) -1,98	23,00	21,02 (6,00)	6,53	0,04	0,00], [(0,00) -2,98	19,00	16,02 (0,00)	8,42	0,05	0,00]]
[[(0,00) -1,98	23,00	21,02 (5,00)	6,53	0,04	0,00], [(0,00) -1,98	23,00	21,02 (5,00)	6,53	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (5,00)	6,53	0,04	0,00], [(0,00) -1,98	23,00	21,02 (5,00)	6,53	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (5,00)	6,53	0,04	0,00], [(0,00) -1,98	23,00	21,02 (5,00)	6,53	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (5,00)	6,53	0,04	0,00], [(0,00) -1,98	23,00	21,02 (5,00)	6,53	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (5,00)	6,53	0,04	0,00], [(0,00) -1,98	23,00	21,02 (5,00)	6,53	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (5,00)	6,53	0,04	0,00], [(0,00) -1,98	23,00	21,02 (5,00)	6,53	0,08	0,00]]
