[[(0,00) -1,98	14,00	12,02 (5,00)	5,16	3,81	0,00], [(0,00) -10,98	24,00	13,02 (3,00)	4,80	0,38	0,00], [(0,00) -7,98	24,00	16,02 (0,00)	4,70	4,62	0,00]]
[[(0,00) -1,98	14,00	12,02 (5,00)	5,16	3,81	0,00], [(0,00) -10,98	24,00	13,02 (2,00)	4,80	0,38	0,00], [(0,00) -6,98	24,00	17,02 (1,00)	4,68	4,64	0,00]]
[[(0,00) -1,98	14,00	12,02 (5,00)	5,16	3,81	0,00], [(0,00) -10,98	24,00	13,02 (2,00)	4,80	0,38	0,00], [(0,00) -6,98	24,00	17,02 (1,00)	4,68	4,64	0,00]]
[[(0,00) -1,98	14,00	12,02 (5,00)	5,16	3,81	0,00], [(0,00) -10,98	24,00	13,02 (2,00)	4,80	0,38	0,00], [(0,00) -6,98	23,00	16,02 (0,00)	4,70	3,87	0,00]]
[[(0,00) -1,98	14,00	12,02 (5,00)	5,16	3,81	0,00], [(0,00) -10,98	24,00	13,02 (1,00)	4,80	0,38	0,00], [(0,00) -5,98	24,00	18,02 (2,00)	4,66	4,65	0,00]]
[[(0,00) -1,98	14,00	12,02 (5,00)	5,16	3,81	0,00], [(0,00) -10,98	24,00	13,02 (1,00)	4,80	0,38	0,00], [(0,00) -5,98	24,00	18,02 (2,00)	4,66	4,65	0,00]]
[[(0,00) -1,98	14,00	12,02 (5,00)	5,16	3,81	0,00], [(0,00) -10,98	24,00	13,02 (1,00)	4,80	0,38	0,00], [(0,00) -5,98	24,00	18,02 (2,00)	4,66	4,65	0,00]]
[[(0,00) -1,98	14,00	12,02 (5,00)	5,16	3,81	0,00], [(0,00) -10,98	24,00	13,02 (1,00)	4,80	0,38	0,00], [(0,00) -5,98	23,00	17,02 (1,00)	4,68	3,88	0,00]]
[[(0,00) -1,98	14,00	12,02 (5,00)	5,16	3,81	0,00], [(0,00) -10,98	24,00	13,02 (1,00)	4,80	0,38	0,00], [(0,00) -5,98	23,00	17,02 (1,00)	4,68	3,88	0,00]]
[[(0,00) -1,98	14,00	12,02 (5,00)	5,16	3,81	0,00], [(0,00) -10,98	24,00	13,02 (1,00)	4,80	0,38	0,00], [(0,00) -5,98	22,00	16,02 (0,00)	4,70	3,14	0,00]]
