[[(0,00) -1,98	23,00	21,02 (0,00)	4,63	3,53	0,00], [(0,00) 3,02	15,00	18,02 (12,00)	5,00	0,62	0,00], [(0,00) -11,98	24,00	12,02 (0,00)	4,85	4,78	0,00], [(0,00) -5,98	23,00	17,02 (1,00)	4,68	8,29	0,00]]
[[(0,00) -1,98	23,00	21,02 (0,00)	4,63	3,53	0,00], [(0,00) 3,02	15,00	18,02 (12,00)	5,00	0,62	0,00], [(0,00) -11,98	24,00	12,02 (0,00)	4,85	4,78	0,00], [(0,00) -5,98	23,00	17,02 (1,00)	4,68	8,29	0,00]]
[[(0,00) -1,98	23,00	21,02 (0,00)	4,63	3,53	0,00], [(0,00) 3,02	15,00	18,02 (12,00)	5,00	0,62	0,00], [(0,00) -11,98	24,00	12,02 (0,00)	4,85	4,78	0,00], [(0,00) -5,98	22,00	16,02 (0,00)	4,70	7,54	0,00]]
[[(0,00) -1,98	23,00	21,02 (0,00)	4,63	3,53	0,00], [(0,00) 3,02	15,00	18,02 (12,00)	5,00	0,62	0,00], [(0,00) -11,98	23,00	11,02 (1,00)	4,87	4,02	0,00], [(0,00) -7,98	24,00	16,02 (0,00)	4,70	8,27	0,00]]
[[(0,00) -1,98	23,00	21,02 (0,00)	4,63	3,53	0,00], [(0,00) 3,02	15,00	18,02 (12,00)	5,00	0,62	0,00], [(0,00) -11,98	23,00	11,02 (0,00)	4,87	4,02	0,00], [(0,00) -6,98	24,00	17,02 (1,00)	4,68	8,28	0,00]]
[[(0,00) -1,98	23,00	21,02 (0,00)	4,63	3,53	0,00], [(0,00) 3,02	15,00	18,02 (12,00)	5,00	0,62	0,00], [(0,00) -11,98	23,00	11,02 (0,00)	4,87	4,02	0,00], [(0,00) -6,98	24,00	17,02 (1,00)	4,68	8,28	0,00]]
[[(0,00) -1,98	23,00	21,02 (0,00)	4,63	3,53	0,00], [(0,00) 3,02	15,00	18,02 (12,00)	5,00	0,62	0,00], [(0,00) -11,98	23,00	11,02 (0,00)	4,87	4,02	0,00], [(0,00) -6,98	23,00	16,02 (0,00)	4,70	7,52	0,00]]
[[(0,00) -1,98	23,00	21,02 (0,00)	4,63	3,53	0,00], [(0,00) 3,02	15,00	18,02 (12,00)	5,00	0,62	0,00], [(0,00) -11,98	22,00	10,02 (0,00)	4,89	3,24	0,00], [(0,00) -7,98	24,00	16,02 (0,00)	4,70	7,49	0,00]]
[[(0,00) -1,98	23,00	21,02 (0,00)	4,63	3,53	0,00], [(0,00) 3,02	15,00	18,02 (11,00)	5,00	0,62	0,00], [(0,00) -10,98	24,00	13,02 (3,00)	4,80	4,81	0,00], [(0,00) -7,98	24,00	16,02 (0,00)	4,70	9,05	0,00]]
[[(0,00) -1,98	23,00	21,02 (0,00)	4,63	3,53	0,00], [(0,00) 3,02	15,00	18,02 (11,00)	5,00	0,62	0,00], [(0,00) -10,98	24,00	13,02 (2,00)	4,80	4,81	0,00], [(0,00) -6,98	24,00	17,02 (1,00)	4,68	9,07	0,00]]
[[(0,00) -1,98	23,00	21,02 (0,00)	4,63	3,53	0,00], [(0,00) 3,02	15,00	18,02 (11,00)	5,00	0,62	0,00], [(0,00) -10,98	24,00	13,02 (2,00)	4,80	4,81	0,00], [(0,00) -6,98	24,00	17,02 (1,00)	4,68	9,07	0,00]]
[[(0,00) -1,98	23,00	21,02 (0,00)	4,63	3,53	0,00], [(0,00) 3,02	15,00	18,02 (11,00)	5,00	0,62	0,00], [(0,00) -10,98	24,00	13,02 (2,00)	4,80	4,81	0,00], [(0,00) -6,98	23,00	16,02 (0,00)	4,70	8,30	0,00]]
[[(0,00) -1,98	23,00	21,02 (0,00)	4,63	3,53	0,00], [(0,00) 3,02	15,00	18,02 (11,00)	5,00	0,62	0,00], [(0,00) -10,98	24,00	13,02 (1,00)	4,80	4,81	0,00], [(0,00) -5,98	24,00	18,02 (2,00)	4,66	9,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (0,00)	4,63	3,53	0,00], [(0,00) 3,02	15,00	18,02 (11,00)	5,00	0,62	0,00], [(0,00) -10,98	24,00	13,02 (1,00)	4,80	4,81	0,00], [(0,00) -5,98	24,00	18,02 (2,00)	4,66	9,08	0,00]]
